"species_name","ecomorphology","depth_preference","piscivore","precaudal_count","caudal_count","total_count","ln_pc_ln_c","ln_length_ln_width","ln_ant_length_ln_width","ln_post_length_ln_width","individual","precaudal_intervertebral_distance","log_precaudal_intervertebral_distance","ln_standard_length"
"rhamphochromis woodi","rhamphochromis","pelagic","piscivore",2.796056,2.995232,3.594479,-0.1991759,1.3289283,0.2183318,0.9324498,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",1.9035622456699,0.643726996946633,5.264710944
"trematocranus placodon","shallow benthic","demersal","non-piscivore",2.564949,2.876082,3.42579,-0.3111328,0.8350443,-0.3563582,0.5048886,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.25662651754922,0.813871006760681,5.016678331
"tropheops tropheops","mbuna","demersal","non-piscivore",2.692224,2.792412,3.437399,-0.1001883,0.9617198,-0.2678083,0.6459086,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.15758459614224,0.768989353469659,4.382622707
"rhamphochromis ferox","rhamphochromis","pelagic","piscivore",2.833213,2.995732,3.610918,-0.1625189,1.442085,0.3189677,1.047963,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.84258808351169,1.04471493420525,4.12729244
"chilotilapia rhoadesii","shallow benthic","benthopelagic","non-piscivore",2.594593,2.867508,3.433987,-0.2729158,0.8064611,-0.46312,0.4799877,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",1.06328352817779,0.0613617883274044,4.57044726
"cheilochromis euchilus","shallow benthic","benthopelagic","non-piscivore",2.564949,2.852266,3.412127,-0.2873168,0.910585,-0.169343,0.4979772,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.47161879431392,0.904873318284014,5.06654986
"diplotaxodon aeneus","diplotaxodon","pelagic","non-piscivore",2.690802,2.889599,3.488585,-0.198797,0.9979125,-0.1410832,0.6154987,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",1.96761584790505,0.676822580340973,4.52812714
"cynotilapia afra","mbuna","demersal","non-piscivore",2.639057,2.833213,3.433987,-0.194156,1.097446,-0.2591646,0.8119721,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.59222678498981,0.952517268871665,3.9506724
"diplotaxodon argenteus","diplotaxodon","pelagic","piscivore",2.80448,2.915815,3.554964,-0.1113349,1.193263,-0.05362609,0.8533465,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.19033473230109,0.784054377948265,4.77220296
"tyrannochromis macrostoma","shallow benthic","demersal","piscivore",2.583476,2.930922,3.465736,-0.3474458,1.135759,0.08376243,0.7178704,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.9826537042505,1.09281340903521,4.9412159
"mylochromis anaphyrmus","shallow benthic","demersal","non-piscivore",2.564949,2.917405,3.449862,-0.352456,0.9854308,-0.110963,0.5929791,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.01430152896531,1.10336813798911,4.54079059
"tramitichromis brevis","deep benthic","demersal","non-piscivore",2.63905733,2.833213344,3.433987204,-0.194156014,0.870073168,-0.248458214,0.501317473,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.56861890128126,0.943368361962464,4.16368093
"aulonocara nyassae","deep benthic","benthopelagic","non-piscivore",2.564949357,2.890371758,3.433987204,-0.3254224,0.983144469,-0.100425851,0.583661291,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.90370859732866,1.06598874665513,4.61717781
"stigmatochromis macrorhynchos","shallow benthic","benthopelagic","piscivore",2.564949357,2.890371758,3.433987204,-0.3254224,1.189960723,0.071350984,0.800445761,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",1.92973246325983,0.657381373235517,4.4457793
"copadichromis chrysonotus","utaka","benthopelagic","non-piscivore",2.640449,2.832842,3.434644,-0.1923931,0.9857177,-0.228207,0.6354644,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",1.72102954103777,0.542922682124368,4.55298281
"protomelas spilopterus","shallow benthic","benthopelagic","piscivore",2.564949,2.833213,3.401197,-0.268264,0.9151426,-0.3061729,0.5694817,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",2.23715235242528,0.805203785877453,4.4945101
"otopharynx lithobates","shallow benthic","demersal","non-piscivore",2.609414,2.867508,3.440337,-0.2580943,1.087855,-0.000857573,0.69369,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.36545592068937,1.21356344297961,4.49464413
"placidochromis electra","shallow benthic","benthopelagic","non-piscivore",2.639057,2.890372,3.465736,-0.2513144,0.9535882,-0.2606905,0.6594151,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",3.06301211253166,1.11939878230957,5.04870535
"nimbochromis polystigma","shallow benthic","demersal","piscivore",2.607297,2.85771,3.433987,-0.250413,0.9765792,-0.1810524,0.6090779,"Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",1.74423283328065,0.556314821897219,4.62935047
